"ISO
country
code",Country,World region,"Multidimensional Poverty Index
(MPI)",Education,Health,"Living 
standards",Total number of indicators included,Indicator(s) missing
KAZ,Kazakhstan,Europe and Central Asia,0.000,1.4,97.2,1.4,10,None
SRB,Serbia,Europe and Central Asia,0.001,48.8,10.0,41.2,10,None
TKM,Turkmenistan,Europe and Central Asia,0.001,20.7,73.0,6.3,10,None
ARM,Armenia,Europe and Central Asia,0.001,18.2,59.6,22.3,10,None
MNE,Montenegro,Europe and Central Asia,0.001,57.4,12.9,29.7,10,None
KGZ,Kyrgyzstan,Europe and Central Asia,0.002,23.5,50.6,25.9,10,None
BIH,Bosnia and Herzegovina,Europe and Central Asia,0.002,26.7,55.8,17.5,9,Child Mortality
MKD,"Macedonia, The former Yugoslav Republic of",Europe and Central Asia,0.002,28.2,43.1,28.7,9,Child Mortality
MDA,"Moldova, Republic of",Europe and Central Asia,0.003,31.2,21.5,47.3,10,None
BRB,Barbados,Latin America and Caribbean,0.003,0.0,97.4,2.6,9,Child Mortality
THA,Thailand,East Asia and the Pacific,0.003,41.0,39.0,20.0,10,None
LCA,Saint Lucia,Latin America and Caribbean,0.003,6.2,81.8,12.0,9,Child Mortality
PSE,"Palestine, State of",Arab States,0.004,36.1,49.8,14.1,10,None
UKR,Ukraine,Europe and Central Asia,0.004,1.4,94.2,4.4,9,Nutrition
TUN,Tunisia,Arab States,0.004,48.1,25.7,26.2,10,None
MEX,Mexico,Latin America and Caribbean,0.005,31.4,35.2,33.4,10,None
ALB,Albania,Europe and Central Asia,0.005,32.0,44.9,23.0,10,None
LBY,Libya,Arab States,0.006,44.0,48.2,7.8,10,None
DZA,Algeria,Arab States,0.006,46.0,32.7,21.3,10,None
JOR,Jordan,Arab States,0.006,23.8,73.8,2.4,10,None
JAM,Jamaica,Latin America and Caribbean,0.007,15.6,42.8,41.6,8,Child Mortality & Floor
UZB,Uzbekistan,Europe and Central Asia,0.008,23.2,55.7,21.1,10,None
GUY,Guyana,Latin America and Caribbean,0.013,18.5,36.5,45.0,10,None
ECU,Ecuador,Latin America and Caribbean,0.013,21.5,47.8,30.7,10,None
EGY,Egypt,Arab States,0.014,52.8,39.6,7.6,9,Cooking Fuel
SYR,Syrian Arab Republic,Arab States,0.016,55.4,33.5,11.1,10,None
CHN,China,East Asia and the Pacific,0.017,29.2,45.4,25.4,9,Floor
BLZ,Belize,Latin America and Caribbean,0.018,41.0,31.2,27.8,10,None
MDV,Maldives,South Asia,0.018,13.6,81.1,5.3,10,None
TTO,Trinidad and Tobago,Latin America and Caribbean,0.020,1.3,94.3,4.4,9,Nutrition
AZE,Azerbaijan,Europe and Central Asia,0.021,24.4,49.4,26.2,10,None
BRA,Brazil,Latin America and Caribbean,0.021,10.9,68.5,20.6,8,Nutrition & Floor
COL,Colombia,Latin America and Caribbean,0.022,31.8,33.5,34.7,10,None
SUR,Suriname,Latin America and Caribbean,0.024,31.2,33.8,34.9,9,Child Mortality
SLV,El Salvador,Latin America and Caribbean,0.026,39.2,19.4,41.4,10,None
VNM,Viet Nam,East Asia and the Pacific,0.029,17.6,58.1,24.3,9,Nutrition
DOM,Dominican Republic,Latin America and Caribbean,0.034,12.5,72.1,15.3,9,Nutrition
ZAF,South Africa,Sub-Saharan Africa,0.036,5.3,57.0,37.7,10,None
MNG,Mongolia,East Asia and the Pacific,0.041,18.0,25.0,57.0,10,None
PER,Peru,Latin America and Caribbean,0.043,20.6,24.0,55.4,10,None
IRQ,Iraq,Arab States,0.045,51.3,38.4,10.3,10,None
PHL,Philippines,East Asia and the Pacific,0.052,16.3,56.3,27.4,8,School Attendance & Nutrition
TJK,Tajikistan,Europe and Central Asia,0.054,21.3,52.3,26.4,10,None
SWZ,Swaziland,Sub-Saharan Africa,0.066,16.1,33.5,50.4,10,None
IDN,Indonesia,East Asia and the Pacific,0.066,12.6,60.7,26.7,9,Nutrition
MAR,Morocco,Arab States,0.067,47.3,18.5,34.2,10,None
GAB,Gabon,Sub-Saharan Africa,0.070,15.4,45.0,39.6,10,None
NIC,Nicaragua,Latin America and Caribbean,0.072,38.4,13.8,47.8,10,None
HND,Honduras,Latin America and Caribbean,0.072,31.9,24.2,44.0,9,Electricity
STP,Sao Tome and Principe,Sub-Saharan Africa,0.081,30.6,25.9,43.5,10,None
BOL,"Bolivia, Plurinational State of",Latin America and Caribbean,0.089,19.8,27.5,52.6,10,None
